INFO  - 2022-03-03 15:38:34.454; utils.log; START=StudentChangePassword--------------------------------------------------------------
INFO  - 2022-03-03 15:38:39.715; utils.log; Test Execution Started On Dev
INFO  - 2022-03-03 15:38:44.592; utils.log; Username , Password  and Sign In Button Entered  
INFO  - 2022-03-03 15:38:46.670; utils.log; Login Successful
INFO  - 2022-03-03 15:38:48.877; utils.log; Menu Dropdown Clicked
INFO  - 2022-03-03 15:38:48.936; utils.log; My Account Selected
INFO  - 2022-03-03 15:38:49.447; utils.log; My Account Page opened 
INFO  - 2022-03-03 15:38:51.555; utils.log; Settings Tab Clicked 
INFO  - 2022-03-03 15:38:53.702; utils.log; Short New  Password  entered
INFO  - 2022-03-03 15:38:53.870; utils.log; Password Fields Cleared 
INFO  - 2022-03-03 15:38:54.033; utils.log; Wrong Old Password  entered
INFO  - 2022-03-03 15:38:54.121; utils.log; New  Password  entered
INFO  - 2022-03-03 15:38:54.240; utils.log; New  Password  entered
INFO  - 2022-03-03 15:38:54.295; utils.log; Save Button Clicked 
INFO  - 2022-03-03 15:38:56.312; utils.log; Incorrect old password alert displayed 
INFO  - 2022-03-03 15:38:58.498; utils.log; Correct Old Password  entered
INFO  - 2022-03-03 15:38:58.617; utils.log; New  Password  entered
INFO  - 2022-03-03 15:38:58.801; utils.log; Wrong New  Password  entered
INFO  - 2022-03-03 15:38:58.817; utils.log; Wrong password combinations alert displayed 
INFO  - 2022-03-03 15:39:00.904; utils.log; Correct Old Password  entered
INFO  - 2022-03-03 15:39:00.999; utils.log; New  Password  entered
INFO  - 2022-03-03 15:39:01.158; utils.log; correct New  Password  entered
INFO  - 2022-03-03 15:39:01.199; utils.log; Save Button Clicked 
INFO  - 2022-03-03 15:39:04.213; utils.log; Password Change successful Message displayed  
INFO  - 2022-03-03 15:39:04.214; utils.log; End TEST-------------------------- StudentChangePassword------------------------
INFO  - 2022-03-03 15:39:04.214; utils.log; END=PASSED
INFO  - 2022-03-03 15:45:59.424; utils.log; START=CandidateProcessingFavoriteTab--------------------------------------------------------------
INFO  - 2022-03-03 15:46:00.169; utils.log; Chrome browser is Selected 
INFO  - 2022-03-03 15:46:03.797; utils.log; Test Execution Started On Dev
INFO  - 2022-03-03 15:46:09.701; utils.log; Username , Password Entered and Sign In Button Clicked  
INFO  - 2022-03-03 15:46:11.723; utils.log; Employer Login Successful
INFO  - 2022-03-03 15:46:15.897; utils.log; Dropdown  Clicked
INFO  - 2022-03-03 15:46:18.010; utils.log; Jobs Menu  Clicked
INFO  - 2022-03-03 15:46:20.154; utils.log; Open Menu  Clicked
INFO  - 2022-03-03 15:46:22.278; utils.log; Job Title entered into Search Box
INFO  - 2022-03-03 15:46:24.384; utils.log; Search Button  Clicked
INFO  - 2022-03-03 15:46:26.440; utils.log; Job Searched was found
INFO  - 2022-03-03 15:46:26.492; utils.log; Jobs Selected
INFO  - 2022-03-03 15:46:36.647; utils.log; Recommended TAB Selected
INFO  - 2022-03-03 15:46:41.743; utils.log; CheckBox  Clicked to select a Talent 
INFO  - 2022-03-03 15:46:43.827; utils.log; Actions Buttons  Clicked
INFO  - 2022-03-03 15:46:45.879; utils.log; Favorite Button   Clicked 
INFO  - 2022-03-03 15:46:49.953; utils.log; Favorite success message is displayed  
INFO  - 2022-03-03 15:46:50.152; utils.log; Favorite TAB   Clicked 
INFO  - 2022-03-03 15:47:54.209; utils.log; END=FAILED
INFO  - 2022-03-03 15:56:41.080; utils.log; START=CandidateProcessingFavoriteTab--------------------------------------------------------------
INFO  - 2022-03-03 15:56:41.814; utils.log; Chrome browser is Selected 
INFO  - 2022-03-03 15:56:45.411; utils.log; Test Execution Started On Dev
INFO  - 2022-03-03 15:56:51.259; utils.log; Username , Password Entered and Sign In Button Clicked  
INFO  - 2022-03-03 15:56:53.284; utils.log; Employer Login Successful
INFO  - 2022-03-03 15:56:57.450; utils.log; Dropdown  Clicked
INFO  - 2022-03-03 15:56:59.650; utils.log; Jobs Menu  Clicked
INFO  - 2022-03-03 15:57:01.717; utils.log; Open Menu  Clicked
INFO  - 2022-03-03 15:57:03.862; utils.log; Job Title entered into Search Box
INFO  - 2022-03-03 15:57:05.967; utils.log; Search Button  Clicked
INFO  - 2022-03-03 15:57:08.037; utils.log; Job Searched was found
INFO  - 2022-03-03 15:57:08.100; utils.log; Jobs Selected
INFO  - 2022-03-03 15:57:18.278; utils.log; Recommended TAB Selected
INFO  - 2022-03-03 15:57:23.397; utils.log; CheckBox  Clicked to select a Talent 
INFO  - 2022-03-03 15:57:25.503; utils.log; Actions Buttons  Clicked
INFO  - 2022-03-03 15:57:27.552; utils.log; Favorite Button   Clicked 
INFO  - 2022-03-03 15:57:31.653; utils.log; Favorite success message is displayed  
INFO  - 2022-03-03 15:57:31.848; utils.log; Favorite TAB   Clicked 
INFO  - 2022-03-03 15:58:37.503; utils.log; START=CandidateProcessingFavoriteTab--------------------------------------------------------------
INFO  - 2022-03-03 15:58:38.127; utils.log; Chrome browser is Selected 
INFO  - 2022-03-03 15:58:41.498; utils.log; Test Execution Started On Dev
INFO  - 2022-03-03 15:58:47.471; utils.log; Username , Password Entered and Sign In Button Clicked  
INFO  - 2022-03-03 15:58:49.498; utils.log; Employer Login Successful
INFO  - 2022-03-03 15:58:53.666; utils.log; Dropdown  Clicked
INFO  - 2022-03-03 15:58:55.726; utils.log; Jobs Menu  Clicked
INFO  - 2022-03-03 15:58:57.779; utils.log; Open Menu  Clicked
INFO  - 2022-03-03 15:58:59.905; utils.log; Job Title entered into Search Box
INFO  - 2022-03-03 15:59:01.969; utils.log; Search Button  Clicked
INFO  - 2022-03-03 15:59:04.027; utils.log; Job Searched was found
INFO  - 2022-03-03 15:59:04.096; utils.log; Jobs Selected
INFO  - 2022-03-03 15:59:14.238; utils.log; Recommended TAB Selected
INFO  - 2022-03-03 15:59:19.341; utils.log; CheckBox  Clicked to select a Talent 
INFO  - 2022-03-03 15:59:21.416; utils.log; Actions Buttons  Clicked
INFO  - 2022-03-03 15:59:23.468; utils.log; Favorite Button   Clicked 
INFO  - 2022-03-03 15:59:27.547; utils.log; Favorite success message is displayed  
INFO  - 2022-03-03 16:01:08.394; utils.log; START=CandidateProcessingFavoriteTab--------------------------------------------------------------
INFO  - 2022-03-03 16:01:09.057; utils.log; Chrome browser is Selected 
INFO  - 2022-03-03 16:01:13.091; utils.log; Test Execution Started On Dev
INFO  - 2022-03-03 16:01:18.839; utils.log; Username , Password Entered and Sign In Button Clicked  
INFO  - 2022-03-03 16:01:20.868; utils.log; Employer Login Successful
